match_id,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_dire,barracks_status_radiant,first_blood_time,game_mode,radiant_win
1,1446753078,2582,0,1846,63,0,221,22,False
2,1446764586,2716,256,1972,63,48,190,22,False
3,1446765723,3085,4,1924,51,3,40,22,False
4,1446796385,1887,2047,0,0,63,58,22,True
5,1446798766,1574,2047,4,3,63,113,22,True
6,1446800938,2124,1972,0,3,63,4,22,True
7,1446804030,2328,2046,0,0,63,255,22,True
8,1446819063,2002,0,1982,63,0,4,22,False
9,1446837251,2961,0,1972,63,0,85,22,False
10,1446839926,1562,1983,262,51,63,143,22,True
11,1446850598,3280,0,1974,63,0,76,22,False
12,1446853394,3995,0,1796,59,0,3,22,False
13,1446855028,2452,1956,6,3,63,120,22,True
14,1446855096,1728,2047,256,48,63,27,22,True
15,1446858132,3122,0,1540,19,0,101,22,False
16,1446860653,3318,0,1312,60,0,252,22,False
17,1446861016,3798,1543,0,0,3,4,22,True
18,1446862325,2820,4,1572,63,3,168,22,False
19,1446870404,2234,1974,0,0,63,112,22,True
20,1446874022,2284,1974,0,0,63,208,22,True
21,1446876812,2019,1974,0,2,63,49,22,True
22,1446887066,2754,1852,256,48,63,4,22,True
23,1446890850,2742,1958,0,0,63,4,22,True
24,1446892093,2986,0,1956,63,0,79,22,False
25,1446893288,2430,1974,0,0,63,5,22,True
26,1446894280,1499,2046,0,0,63,108,22,True
27,1446896551,2116,0,1846,63,0,111,22,False
28,1446899255,2201,2047,0,0,63,9,22,True
29,1446910512,3388,4,1796,63,51,80,22,False
30,1446910754,2420,1983,0,0,63,2,22,True
31,1446914603,1707,384,1983,63,48,6,22,False
32,1446917368,1749,2047,4,3,63,4,22,True
33,1446917577,3429,0,1824,60,0,138,22,False
34,1446919403,1953,1974,0,0,63,47,22,True
35,1446921455,2033,0,1982,63,0,208,22,False
36,1446924653,1745,2047,0,0,63,12,22,True
37,1446925487,3174,1958,0,0,63,68,22,True
38,1446928243,2886,4,1956,63,3,115,22,False
39,1446929775,3291,4,1024,0,3,85,22,False
40,1446931616,2946,0,1958,63,0,268,22,False
41,1446931713,2461,1846,0,0,63,74,22,True
42,1446932517,2798,1982,256,48,63,102,22,True
43,1446938392,1934,0,2046,63,0,95,22,False
44,1446945281,4348,263,0,0,51,210,22,True
45,1446947079,3098,1796,260,51,63,228,22,True
46,1446948050,2599,0,1982,63,0,274,22,False
47,1446948700,1568,2032,0,0,62,21,22,True
48,1446951365,2872,1982,6,3,63,76,22,True
49,1446966971,2424,1852,0,0,63,252,22,True
50,1446969868,2248,4,2039,63,3,110,22,False
51,1446970036,3454,0,1824,60,0,106,22,False
52,1446971786,3355,6,1572,15,3,17,22,False
53,1446974421,1741,4,1983,63,3,72,22,False
54,1446976897,2723,1824,0,0,61,245,22,True
55,1446984016,2162,2038,0,0,63,206,22,True
56,1446986273,3514,0,454,51,3,5,22,True
57,1446986904,1848,0,2046,63,0,82,22,False
58,1446988300,2983,0,1830,63,0,44,22,False
59,1446989862,3296,0,1828,63,0,19,22,False
60,1446992227,2906,0,1974,63,0,22,22,False
61,1446992342,2200,1974,256,51,63,0,22,True
62,1446993255,2272,1983,0,16,63,56,22,True
63,1446995949,2641,0,1972,63,0,18,22,False
64,1447003081,2296,2038,6,3,63,183,22,True
65,1447003152,2053,1974,6,3,63,5,22,True
66,1447006054,3145,1830,0,0,63,95,22,True
67,1447007201,2187,2036,0,0,63,4,22,True
68,1447007243,1650,2047,256,48,63,0,22,True
69,1447009624,2850,1854,0,0,63,43,22,True
70,1447009964,2233,1974,0,0,63,100,22,True
71,1447010902,1783,0,1846,63,0,14,22,False
72,1447013231,3096,1830,0,3,63,0,22,True
73,1447018155,2946,0,1958,63,0,0,22,False
74,1447019618,2961,1828,0,0,63,2,22,True
75,1447024714,2791,0,1796,63,0,179,22,False
76,1447028255,2251,1972,256,48,63,19,22,True
77,1447031094,2218,1972,4,3,63,190,22,True
78,1447033049,3808,0,1990,59,0,110,22,False
79,1447033910,2240,1974,256,48,63,110,22,True
80,1447034035,4208,1924,0,0,59,135,22,True
81,1447036521,2616,1974,0,0,63,109,22,True
82,1447038194,2190,0,1958,63,0,159,22,False
83,1447040521,2306,0,1990,51,0,0,22,False
84,1447041173,1953,1980,448,48,63,149,22,True
85,1447042670,3191,1792,390,51,63,61,22,True
86,1447043739,1458,2047,0,0,63,76,22,True
87,1447046803,2159,1584,0,0,63,102,22,True
88,1447047323,3454,1828,0,0,63,137,22,True
89,1447052577,3183,0,1830,63,0,189,22,False
90,1447053945,2669,0,1846,63,0,16,22,False
91,1447059448,2810,0,1974,63,0,26,22,False
92,1447060515,2295,256,1588,63,48,55,22,False
93,1447062934,2587,0,1972,63,0,153,22,False
94,1447063753,2436,0,1846,63,0,51,22,False
95,1447066057,1756,4,1974,63,3,96,22,False
96,1447067603,2126,2046,0,0,63,3,22,True
97,1447068553,2837,2039,0,0,63,77,22,True
98,1447071367,1667,0,1975,63,32,220,22,False
99,1447072115,1451,2047,0,0,63,160,22,True
