match_id,account_id,hero_id,player_slot,gold,gold_spent,gold_per_min,xp_per_min,kills,deaths,assists,denies,last_hits,stuns,hero_damage,hero_healing,tower_damage,item_0,item_1,item_2,item_3,item_4,item_5,level
1,0,7,0,76,12160,218,206,3,4,9,0,36,37.9243,4075,0,0,0,0,0,0,0,0,12
1,7,82,1,9,19625,581,756,9,10,8,9,343,0,13888,0,1679,48,0,176,96,1,108,25
1,0,71,2,1240,10220,339,352,5,13,11,3,76,99.9916,7788,0,81,172,181,63,116,9,73,16
1,8,39,3,2400,14395,460,544,12,15,9,8,169,30.2234,19920,0,123,116,127,63,46,100,0,21
1,4,21,4,1051,12910,365,436,6,11,12,7,131,47.5044,12913,0,537,50,36,41,168,108,21,18
1,9,73,128,1277,20275,600,509,2,12,24,2,220,86.2695,14130,0,1765,178,137,1,24,129,48,20
1,0,22,129,847,21840,487,517,8,5,17,0,193,1.00076,19218,0,988,201,1,190,48,65,235,20
1,0,5,130,389,19165,488,583,14,8,9,0,101,2.20195,11398,0,971,254,102,0,116,108,48,21
1,5,67,131,4055,24165,631,755,16,5,21,11,226,0,28505,0,6149,158,50,147,196,114,46,25
1,0,106,132,2517,22305,585,753,10,7,12,3,250,0,20065,0,1275,48,0,1,141,145,145,25
2,10,51,0,259,7990,237,249,5,13,7,3,97,66.2857,15638,0,39,127,102,41,36,214,46,14
2,11,109,1,781,12515,322,358,6,11,5,1,179,0,7989,16,1446,147,185,36,63,46,162,17
2,12,9,2,640,13845,355,425,10,6,8,3,154,70.0816,14295,0,217,170,63,36,212,166,123,19
2,13,41,3,667,13260,328,345,0,9,4,3,154,14.0544,3159,0,0,116,145,172,65,29,0,17
2,0,27,4,147,7380,189,229,1,10,7,0,41,33.0944,4962,0,184,180,60,46,23,21,0,13
2,0,38,128,785,20500,450,567,13,7,18,4,163,32.4821,14580,706,1438,1,0,110,63,81,108,22
2,0,7,129,479,15760,376,461,5,6,28,2,78,76.0841,13796,0,729,190,102,1,180,108,0,20
2,0,10,130,2298,20735,493,535,17,2,14,5,170,18.3364,15755,0,3141,139,164,63,147,123,0,21
2,0,12,131,4448,13990,389,454,7,2,13,2,111,0,12177,467,2131,63,81,174,147,46,0,19
2,0,85,132,3167,10635,313,363,6,5,17,3,51,0,4950,572,551,88,242,46,180,108,0,17
3,14,50,0,1847,9690,290,378,4,13,21,8,47,3.01025,7691,10814,371,231,0,94,0,0,0,19
3,0,44,1,1145,18550,498,619,24,13,22,4,170,0.36778299999999997,27738,0,450,63,154,116,164,0,135,24
3,0,32,2,1244,17825,454,635,17,11,18,5,144,11.8412,23279,0,1987,196,143,116,71,154,63,25
3,15,26,3,527,11565,286,351,2,17,21,2,71,84.1923,8725,0,296,1,102,37,48,214,40,18
3,16,39,4,1692,19055,453,620,17,12,10,13,148,0,19082,0,1500,63,41,96,108,0,123,24
3,17,78,128,1807,20350,459,632,13,8,20,3,128,28.7416,19952,0,1808,210,112,1,180,0,135,25
3,0,19,129,2205,24295,523,630,18,11,19,9,183,77.1635,32146,0,3753,152,108,247,116,141,63,25
3,18,31,130,950,13280,323,436,7,16,24,3,44,0.8009769999999999,13820,1046,152,0,79,214,92,119,46,20
3,19,40,131,968,13000,331,302,5,19,28,0,105,0,13472,0,355,178,190,180,42,60,108,17
3,20,47,132,24,23505,500,631,20,11,19,14,166,0,27992,0,3241,98,249,0,116,63,51,25
4,0,8,0,4817,18605,732,683,8,2,10,14,268,0,11050,0,9411,1,50,147,0,145,247,20
4,21,39,1,3374,19675,707,694,18,4,9,5,139,0.100312,24979,0,1581,41,116,185,63,108,135,20
4,22,55,2,1315,14025,424,372,1,3,13,0,114,4.13965,6395,0,490,178,90,180,1,46,102,14
4,23,87,3,2306,9225,348,309,1,4,15,7,27,0,5420,0,319,65,108,46,214,16,16,13
4,24,69,4,2287,17450,624,541,9,3,12,0,120,0.366836,9916,2328,1261,1,231,65,46,81,108,18
4,25,101,128,994,7770,308,309,4,7,5,2,9,0,5813,446,0,37,92,180,16,254,218,13
4,26,100,129,102,5560,235,205,3,9,5,0,41,32.3754,7399,0,0,46,41,185,181,0,50,11
4,0,22,130,315,7770,271,313,4,5,6,0,61,2.00098,16016,0,0,180,178,190,102,46,0,13
4,5,67,131,517,10965,418,467,4,5,6,15,159,0,13006,0,0,170,50,36,56,137,0,16
4,27,21,132,102,6915,289,272,1,11,8,4,99,24.155,7830,0,45,41,50,77,23,60,21,12
5,0,32,0,3557,9115,496,507,13,6,14,1,37,0,12298,0,1022,196,71,63,181,36,170,15
5,28,27,1,2496,8655,411,309,3,7,16,2,54,12.197,5459,0,1894,214,36,46,60,1,30,11
5,5,67,2,2306,15665,631,644,13,3,19,12,118,0,16923,0,2547,137,50,36,71,147,212,17
5,0,106,3,1714,15015,604,626,14,1,21,7,99,0,20239,0,1241,48,170,145,185,1,41,17
5,29,71,4,271,10560,423,388,6,6,17,1,18,86.1794,8002,324,16,181,92,226,63,0,40,13
5,30,28,128,529,7210,321,302,2,10,4,11,81,51.221,2979,0,20,1,102,34,63,0,182,11
5,0,107,129,760,6945,319,330,5,12,8,0,16,34.0917,7764,0,0,190,36,92,180,73,0,12
5,31,62,130,987,6330,312,269,5,9,6,2,14,1.8,7405,0,0,86,181,180,40,36,1,11
5,0,84,131,1839,4490,285,346,2,9,8,4,18,18.7455,4806,0,0,0,60,46,36,0,29,13
5,0,11,132,3,10285,420,430,7,11,9,12,125,0,12035,0,0,26,63,46,162,0,116,14
6,28,20,0,524,10595,320,348,1,7,14,2,38,29.3819,5533,0,775,48,36,59,40,229,212,15
6,32,8,1,674,24215,719,776,20,3,9,7,290,5.5189900000000005,22060,0,3671,145,208,147,48,0,1,22
6,5,67,2,1289,18775,543,628,5,2,18,2,198,0,18519,0,2796,196,63,147,212,36,137,20
6,33,69,3,5056,14440,564,507,10,10,13,1,163,0.300571,16516,286,802,50,81,119,73,154,0,18
6,34,100,4,2687,14475,425,426,4,7,19,0,106,56.7867,11005,1195,423,231,36,92,46,152,0,16
